CUSTOMERNAME,CONTACTLASTNAME,CONTACTFIRSTNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
Reims Collectables,Henriot,Paul,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France
Lyon Souveniers,Da Cunha,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France
Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
Daedalus Designs Imports,Rance,Martine,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France
Toys4GrownUps.com,Young,Julie,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA
Auto Canal Petit,Perrier,Dominique,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France
Daedalus Designs Imports,Rance,Martine,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France
Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA
Tekni Collectables Inc.,Brown,William,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA
Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA
Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA
Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA
"Toys of Finland, Co.",Karttunen,Matti,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland
Baane Mini Imports,Bergulfsen,Jonas,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway
Microscale Inc.,Kuo,Kee,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA
Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,,Salzburg,,5020,Austria
Technics Stores Inc.,Hirano,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
La Rochelle Gifts,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France
FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,,New Bedford,MA,50553,USA
"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
L'ordine Souveniers,Moroni,Maurizio,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy
Mini Creations Ltd.,Tam,Wing C,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA
Super Scale Inc.,Murphy,Leslie,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA
"Saveley & Henriot, Co.",Saveley,Mary,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France
"Clover Collections, Co.",Cassidy,Dean,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland
"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany
Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland
Diecast Classics Inc.,Yu,Kyung,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Amica Models & Co.,Accorti,Paolo,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy
"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK
Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark
Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA
"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
"Tokyo Collectables, Ltd",Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA
Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines
Marseille Mini Autos,Lebihan,Laurence,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA
"Men 'R' US Retailers, Ltd.",Chandler,Michael,2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA
Mini Auto Werke,Mendel,Roland,7675-3555,Kirchgasse 6,,Graz,,8010,Austria
Herkku Gifts,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland
Danish Wholesale Imports,Petersen,Jytte,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark
"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK
L'ordine Souveniers,Moroni,Maurizio,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy
Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA
"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland
"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany
"Volvo Model Replicas, Co",Berglund,Christina,0921-12 3555,Berguvsvgen  8,,Lule,,S-958 22,Sweden
Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,,Salzburg,,5020,Austria
Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland
Boards & Toys Co.,Young,Leslie,3105552373,4097 Douglas Av.,,Glendale,CA,92561,USA
Scandinavian Gift Ideas,Larsson,Maria,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden
Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,,Salzburg,,5020,Austria
Danish Wholesale Imports,Petersen,Jytte,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
L'ordine Souveniers,Moroni,Maurizio,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy
Mini Creations Ltd.,Tam,Wing C,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA
Super Scale Inc.,Murphy,Leslie,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA
"Saveley & Henriot, Co.",Saveley,Mary,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France
"Clover Collections, Co.",Cassidy,Dean,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland
CAF Imports,Fernandez,Jesus,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain
Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland
Diecast Classics Inc.,Yu,Kyung,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Amica Models & Co.,Accorti,Paolo,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy
"AV Stores, Co.",Ashworth,Victoria,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK
Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark
Baane Mini Imports,Bergulfsen,Jonas,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway
"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
Reims Collectables,Henriot,Paul,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France
"Tokyo Collectables, Ltd",Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA
Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines
Marseille Mini Autos,Lebihan,Laurence,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA
Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
Herkku Gifts,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Auto Canal Petit,Perrier,Dominique,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France
"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland
Danish Wholesale Imports,Petersen,Jytte,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark
"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK
L'ordine Souveniers,Moroni,Maurizio,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy
Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA
"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland
"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany
"Volvo Model Replicas, Co",Berglund,Christina,0921-12 3555,Berguvsvgen  8,,Lule,,S-958 22,Sweden
Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,,Salzburg,,5020,Austria
Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland
"Toys of Finland, Co.",Karttunen,Matti,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland
Scandinavian Gift Ideas,Larsson,Maria,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden
Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,,Salzburg,,5020,Austria
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Classic Legends Inc.,Hernandez,Maria,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,Torikatu 38,,Oulu,,90110,Finland
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
"Stylish Desk Decors, Co.",Brown,Ann,(171) 555-0297,35 King George,,London,,WX3 6FW,UK
"Iberia Gift Imports, Corp.",Roel,Jose Pedro,(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain
Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA
Diecast Collectables,Franco,Valarie,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA
Signal Collectibles Ltd.,Taylor,Sue,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Handji Gifts& Co,Victorino,Wendy,+65 224 1555,Village Close - 106 Linden Road Sandown,2nd Floor,Singapore,,69045,Singapore
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Diecast Classics Inc.,Yu,Kyung,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
Marta's Replicas Co.,Hernandez,Marta,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA
Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark
Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA
"La Corne D'abondance, Co.",Bertrand,Marie,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
La Rochelle Gifts,Labrune,Janine,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France
Cruz & Sons Co.,Cruz,Arnold,+63 2 555 3587,15 McCallum Street - NatWest Center #13-03,,Makati City,,1227 MM,Philippines
Marseille Mini Autos,Lebihan,Laurence,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Collectables For Less Inc.,Nelson,Allen,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA
"Men 'R' US Retailers, Ltd.",Chandler,Michael,2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA
Mini Auto Werke,Mendel,Roland,7675-3555,Kirchgasse 6,,Graz,,8010,Austria
Herkku Gifts,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway
Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland
"Oulu Toy Supplies, Inc.",Koskitalo,Pirkko,981-443655,Torikatu 38,,Oulu,,90110,Finland
"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK
L'ordine Souveniers,Moroni,Maurizio,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland
"Blauer See Auto, Co.",Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,,Frankfurt,,60528,Germany
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany
FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,,New Bedford,MA,50553,USA
Land of Toys Inc.,Yu,Kwai,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,,Salzburg,,5020,Austria
Suominen Souveniers,Suominen,Kalle,+358 9 8045 555,"Software Engineering Center, SEC Oy",,Espoo,,FIN-02271,Finland
"Toys of Finland, Co.",Karttunen,Matti,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland
Scandinavian Gift Ideas,Larsson,Maria,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden
Mini Caravy,Citeaux,Frederique,88.60.1555,"24, place Kluber",,Strasbourg,,67000,France
Salzburg Collectables,Pipps,Georg,6562-9555,Geislweg 14,,Salzburg,,5020,Austria
Baane Mini Imports,Bergulfsen,Jonas,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
"Corrida Auto Replicas, Ltd",Sommer,Mart¡n,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain
Technics Stores Inc.,Hirano,Juri,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
"Dragon Souveniers, Ltd.",Natividad,Eric,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
Mini Auto Werke,Mendel,Roland,7675-3555,Kirchgasse 6,,Graz,,8010,Austria
"Australian Gift Network, Co",Calaghan,Tony,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia
"Classic Gift Ideas, Inc",Cervantes,Francisca,2155554695,782 First Street,,Philadelphia,PA,71270,USA
"Saveley & Henriot, Co.",Saveley,Mary,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France
Canadian Gift Exchange Network,Tannamuri,Yoshi,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada
West Coast Collectables Co.,Thompson,Steve,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA
Cambridge Collectables Co.,Tseng,Kyung,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA
Super Scale Inc.,Murphy,Leslie,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA
"Tokyo Collectables, Ltd",Shimamura,Akiko,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan
Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia
Amica Models & Co.,Accorti,Paolo,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy
Scandinavian Gift Ideas,Larsson,Maria,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden
Auto Assoc. & Cie.,Tonini,Daniel,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
Mini Gifts Distributors Ltd.,Nelson,Valarie,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
Corporate Gift Ideas Co.,Brown,Julie,6505551386,7734 Strong St.,,San Francisco,CA,,USA
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
Quebec Home Shopping Network,Fresnisre,Jean,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Motor Mint Distributors Inc.,Hernandez,Rosa,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA
Marseille Mini Autos,Lebihan,Laurence,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France
Alpha Cognac,Roulet,Annette,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France
"Anna's Decorations, Ltd",O'Hara,Anna,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,,Aaarhus,,8200,Denmark
Quebec Home Shopping Network,Fresnisre,Jean,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada
Herkku Gifts,Oeztan,Veysel,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway
Online Diecast Creations Co.,Young,Valarie,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
Euro Shopping Channel,Freyre,Diego,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland
Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan
"UK Collectables, Ltd.",Devon,Elizabeth,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK
L'ordine Souveniers,Moroni,Maurizio,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy
Signal Gift Stores,King,Sue,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA
"Vida Sport, Ltd",Holz,Michael,0897-034555,Grenzacherweg 237,,Gensve,,1203,Switzerland
"Norway Gifts By Mail, Co.",Klaeboe,Jan,+47 2212 1555,"Drammensveien 126 A, PB 744 Sentrum",,Oslo,,N 0106,Norway
"Toms Spezialitten, Ltd",Pfalzheim,Henriette,0221-5554327,Mehrheimerstr. 369,,Koln,,50739,Germany
FunGiftIdeas.com,Benitez,Violeta,5085552555,1785 First Street,,New Bedford,MA,50553,USA
Motor Mint Distributors Inc.,Hernandez,Rosa,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA
"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
Lyon Souveniers,Da Cunha,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France
Mini Creations Ltd.,Tam,Wing C,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA
